dose;cultivar;resp
Dose1;BRS 184;185
Dose1;BRS 184;181
Dose1;BRS 184;173
Dose1;BRS 184;173
Dose1;TMG 7062;182
Dose1;TMG 7062;171
Dose1;TMG 7062;178
Dose1;TMG 7062;177
Dose1;Potência;185
Dose1;Potência;176
Dose1;Potência;176
Dose1;Potência;184
Dose1;Zeus;175
Dose1;Zeus;180
Dose1;Zeus;181
Dose1;Zeus;178
Dose2;BRS 184;187
Dose2;BRS 184;193
Dose2;BRS 184;188
Dose2;BRS 184;188
Dose2;TMG 7062;197
Dose2;TMG 7062;201
Dose2;TMG 7062;193
Dose2;TMG 7062;194
Dose2;Potência;185
Dose2;Potência;193
Dose2;Potência;187
Dose2;Potência;191
Dose2;Zeus;184
Dose2;Zeus;188
Dose2;Zeus;186
Dose2;Zeus;192
