parc;subp;bloco;resp
AbV5;GR;1;0,232608696
AbV5;GR;2;0,233385335
AbV5;GR;3;0,223560104
AbV5;GR;4;0,224572457
PSMO;GR;1;0,235219326
PSMO;GR;2;0,24057508
PSMO;GR;3;0,231658001
PSMO;GR;4;0,297475302
AZOS;GR;1;0,232010467
AZOS;GR;2;0,21572935
AZOS;GR;3;0,23176725
AZOS;GR;4;0,218983168
ENTB;GR;1;0,219956616
ENTB;GR;2;0,208460237
ENTB;GR;3;0,217769441
ENTB;GR;4;0,214504597
STPH;GR;1;0,249168785
STPH;GR;2;0,216121279
STPH;GR;3;0,228444004
STPH;GR;4;0,210790668
TEST;GR;1;0,2408143
TEST;GR;2;0,217691343
TEST;GR;3;0,224252492
TEST;GR;4;0,234901886
AbV5;IN;1;0,277439024
AbV5;IN;2;0,28606357
AbV5;IN;3;0,24368145
AbV5;IN;4;0,262842996
PSMO;IN;1;0,283623308
PSMO;IN;2;0,257817929
PSMO;IN;3;0,255391325
PSMO;IN;4;0,312085671
AZOS;IN;1;0,26487524
AZOS;IN;2;0,241040616
AZOS;IN;3;0,238993711
AZOS;IN;4;0,247426611
ENTB;IN;1;0,234792123
ENTB;IN;2;0,238121345
ENTB;IN;3;0,229896239
ENTB;IN;4;0,226728827
STPH;IN;1;0,263047219
STPH;IN;2;0,23979867
STPH;IN;3;0,247413642
STPH;IN;4;0,246166395
TEST;IN;1;0,251908397
TEST;IN;2;0,244919786
TEST;IN;3;0,231738035
TEST;IN;4;0,216727399
AbV5;PE;1;0,301834862
AbV5;PE;2;0,291634089
AbV5;PE;3;0,278666959
AbV5;PE;4;0,272647702
PSMO;PE;1;0,31827957
PSMO;PE;2;0,273954116
PSMO;PE;3;0,270186335
PSMO;PE;4;0,313876088
AZOS;PE;1;0,251232631
AZOS;PE;2;0,256679607
AZOS;PE;3;0,266864853
AZOS;PE;4;0,254713747
ENTB;PE;1;0,274908201
ENTB;PE;2;0,266520264
ENTB;PE;3;0,272287213
ENTB;PE;4;0,255057316
STPH;PE;1;0,25755287
STPH;PE;2;0,222502762
STPH;PE;3;0,253673163
STPH;PE;4;0,260218236
TEST;PE;1;0,277232581
TEST;PE;2;0,254279279
TEST;PE;3;0,272048847
TEST;PE;4;0,253004151
AbV5;SA;1;0,230512991
AbV5;SA;2;0,25955414
AbV5;SA;3;0,218040847
AbV5;SA;4;0,220267686
PSMO;SA;1;0,248205994
PSMO;SA;2;0,21941703
PSMO;SA;3;0,221806521
PSMO;SA;4;0,240601504
AZOS;SA;1;0,249374858
AZOS;SA;2;0,228232503
AZOS;SA;3;0,220179304
AZOS;SA;4;0,209483465
ENTB;SA;1;0,201928873
ENTB;SA;2;0,191361917
ENTB;SA;3;0,232120452
ENTB;SA;4;0,208871662
STPH;SA;1;0,236381644
STPH;SA;2;0,209450621
STPH;SA;3;0,223552894
STPH;SA;4;0,205589416
TEST;SA;1;0,242323835
TEST;SA;2;0,189742722
TEST;SA;3;0,220023478
TEST;SA;4;0,216029553
